era,archetype,algorithm,mean_total_time,backlog_total,throughput,renege_rate_obs,grant_rate_obs
pre_covid_2019,high_vol_low_grant,FIFO,120.9,378141,6.7,0.713,0.029
pre_covid_2019,high_vol_low_grant,LIFO,116.4,377915,6.6,0.692,0.028
pre_covid_2019,high_vol_low_grant,PRIORITY,140.2,377796,3.2,0.578,0.025
pre_covid_2019,high_vol_high_grant,FIFO,120.9,188160,6.6,0.715,0.022
pre_covid_2019,high_vol_high_grant,LIFO,116.0,188938,6.5,0.716,0.021
pre_covid_2019,high_vol_high_grant,PRIORITY,126.3,188997,6.4,0.761,0.029
pre_covid_2019,low_vol_low_grant,FIFO,120.1,210682,7.9,0.7,0.044
pre_covid_2019,low_vol_low_grant,LIFO,115.0,210669,7.8,0.689,0.046
pre_covid_2019,low_vol_low_grant,PRIORITY,117.7,210661,7.8,0.671,0.052
pre_covid_2019,low_vol_high_grant,FIFO,120.1,195228,9.7,0.68,0.058
pre_covid_2019,low_vol_high_grant,LIFO,113.9,195733,9.8,0.679,0.066
pre_covid_2019,low_vol_high_grant,PRIORITY,116.0,195552,2.9,0.271,0.111
post_covid_2024,high_vol_low_grant,FIFO,118.1,1854723,30.2,0.677,0.003
post_covid_2024,high_vol_low_grant,LIFO,111.2,1853479,30.1,0.705,0.004
post_covid_2024,high_vol_low_grant,PRIORITY,126.1,1854092,27.7,0.775,0.005
post_covid_2024,high_vol_high_grant,FIFO,117.5,1196702,30.1,0.691,0.002
post_covid_2024,high_vol_high_grant,LIFO,110.8,1195456,30.2,0.726,0.002
post_covid_2024,high_vol_high_grant,PRIORITY,117.4,1195481,30.2,0.705,0.004
post_covid_2024,low_vol_low_grant,FIFO,116.1,853102,27.4,0.699,0.003
post_covid_2024,low_vol_low_grant,LIFO,110.9,852894,27.7,0.719,0.003
post_covid_2024,low_vol_low_grant,PRIORITY,116.6,852736,27.4,0.703,0.002
post_covid_2024,low_vol_high_grant,FIFO,114.5,323766,47.9,0.69,0.014
post_covid_2024,low_vol_high_grant,LIFO,110.6,323013,48.1,0.728,0.011
post_covid_2024,low_vol_high_grant,PRIORITY,115.7,323654,43.1,0.764,0.01
