era,algorithm,total_lost_wages_B,total_lost_tax_B,mean_wait_months
post_covid_2024,CEL_BROAD,4408.01,661.2,113.05
post_covid_2024,CEL_ECON_ONLY,4541.08,681.16,116.64
post_covid_2024,FIFO,4572.41,685.86,116.54
post_covid_2024,LIFO,4311.53,646.73,110.87
post_covid_2024,PRIORITY_DEFAULT,4721.54,708.23,118.95
post_covid_2024,PRIORITY_OPT,4058.41,608.76,107.39
pre_covid_2019,CEL_BROAD,1036.52,155.48,115.97
pre_covid_2019,CEL_ECON_ONLY,1081.02,162.15,120.83
pre_covid_2019,FIFO,1083.03,162.45,120.52
pre_covid_2019,LIFO,1036.42,155.46,115.34
pre_covid_2019,PRIORITY_DEFAULT,1151.98,172.8,125.06
pre_covid_2019,PRIORITY_OPT,951.72,142.76,107.17
